DATE,TRESCA
1/1/2000,28502721918
2/1/2000,29430050447
3/1/2000,30695271162
4/1/2000,30046414753
5/1/2000,29119049378
6/1/2000,29801339133
7/1/2000,29877211447
8/1/2000,30250814163
9/1/2000,30349488740
10/1/2000,30205340083
11/1/2000,30658042377
12/1/2000,32102319496
1/1/2001,32241265485
2/1/2001,32383611830
3/1/2001,33214453629
4/1/2001,32902772435
5/1/2001,32950594554
6/1/2001,32700852247
7/1/2001,33495640700
8/1/2001,34719792717
9/1/2001,33884843306
10/1/2001,34648624922
11/1/2001,34281299091
12/1/2001,33961817468
1/1/2002,33348690272
2/1/2002,33897168799
3/1/2002,33743102945
4/1/2002,34690624405
5/1/2002,35395842106
6/1/2002,36917101328
7/1/2002,36149266473
8/1/2002,36855257523
9/1/2002,36365574169
10/1/2002,37041217690
11/1/2002,36285386830
12/1/2002,36984083074
1/1/2003,37414758517
2/1/2003,35723438422
3/1/2003,35756717497
4/1/2003,36120620985
5/1/2003,37268586023
6/1/2003,36591671783
7/1/2003,35654467458
8/1/2003,35224651622
9/1/2003,36610723079
10/1/2003,35788592264
11/1/2003,36054079623
12/1/2003,36222100799
1/1/2004,36323415551
2/1/2004,35938921518
3/1/2004,36365514774
4/1/2004,35064356252
5/1/2004,35933267219
6/1/2004,35373481271
7/1/2004,35154463410
8/1/2004,35843575708
9/1/2004,36215251593
10/1/2004,36413990601
11/1/2004,34032191901
12/1/2004,34428643088
1/1/2005,34544332565
2/1/2005,35514502489
3/1/2005,36199398217
4/1/2005,35556385120
5/1/2005,34989561274
6/1/2005,34876105243
7/1/2005,33282668965
8/1/2005,34251748996
9/1/2005,33547292850
10/1/2005,34163368100
11/1/2005,34144867115
12/1/2005,32962124276
1/1/2006,32896903205
2/1/2006,32623387773
3/1/2006,35966263260
4/1/2006,35645983311
5/1/2006,35613005445
6/1/2006,35845663402
7/1/2006,36321837535
8/1/2006,35785116345
9/1/2006,35952397830
10/1/2006,35576435938
11/1/2006,36407752069
12/1/2006,34993800647
1/1/2007,35836791878
2/1/2007,36237469505
3/1/2007,39230596217
4/1/2007,40109021412
5/1/2007,40024261892
6/1/2007,39341247571
7/1/2007,40229904115
8/1/2007,40228380573
9/1/2007,40900194286
10/1/2007,40711549518
11/1/2007,40767405923
12/1/2007,40991230029
1/1/2008,42159168738
2/1/2008,43507589054
3/1/2008,42950198659
4/1/2008,43507373182
5/1/2008,43490511389
6/1/2008,43753937787
7/1/2008,42559110149
8/1/2008,42502899903
9/1/2008,42883279598
10/1/2008,41322100625
11/1/2008,41466436152
12/1/2008,43777513814
1/1/2009,42629146129
2/1/2009,43089127570
3/1/2009,43423137270
4/1/2009,42528683880
5/1/2009,44763057080
6/1/2009,44559868933
7/1/2009,45311783003
8/1/2009,53467279586
9/1/2009,58052768345
10/1/2009,56122506581
11/1/2009,56292170935
12/1/2009,54237792267
1/1/2010,56859605470
2/1/2010,57221239016
3/1/2010,56543637620
4/1/2010,56714112151
