DATE,TRESCN
1/1/2000,1.59039E+11
2/1/2000,1.59491E+11
3/1/2000,1.59769E+11
4/1/2000,1.59503E+11
5/1/2000,1.60701E+11
6/1/2000,1.61285E+11
7/1/2000,1.61367E+11
8/1/2000,1.61724E+11
9/1/2000,1.62585E+11
10/1/2000,1.63801E+11
11/1/2000,1.66363E+11
12/1/2000,1.68278E+11
1/1/2001,1.71298E+11
2/1/2001,1.78004E+11
3/1/2001,1.78891E+11
4/1/2001,1.80226E+11
5/1/2001,1.82044E+11
6/1/2001,1.83861E+11
7/1/2001,1.87518E+11
8/1/2001,1.93173E+11
9/1/2001,1.99284E+11
10/1/2001,2.0652E+11
11/1/2001,2.11793E+11
12/1/2001,2.15605E+11
1/1/2002,2.20749E+11
2/1/2002,2.26703E+11
3/1/2002,2.3087E+11
4/1/2002,2.37171E+11
5/1/2002,2.41896E+11
6/1/2002,2.46749E+11
7/1/2002,2.50498E+11
8/1/2002,2.57204E+11
9/1/2002,2.62964E+11
10/1/2002,2.69869E+11
11/1/2002,2.78983E+11
12/1/2002,2.91128E+11
1/1/2003,3.09215E+11
2/1/2003,3.12924E+11
3/1/2003,3.20871E+11
4/1/2003,3.31066E+11
5/1/2003,3.44979E+11
6/1/2003,3.51364E+11
7/1/2003,3.6134E+11
8/1/2003,3.69553E+11
9/1/2003,3.88881E+11
10/1/2003,4.05995E+11
11/1/2003,4.25427E+11
12/1/2003,4.08151E+11
1/1/2004,4.20608E+11
2/1/2004,4.31539E+11
3/1/2004,4.44427E+11
4/1/2004,4.53537E+11
5/1/2004,4.6308E+11
6/1/2004,4.75114E+11
7/1/2004,4.8742E+11
8/1/2004,5.0064E+11
9/1/2004,5.19001E+11
10/1/2004,5.46985E+11
11/1/2004,5.78447E+11
12/1/2004,6.145E+11
1/1/2005,6.27985E+11
2/1/2005,6.47003E+11
3/1/2005,6.6319E+11
4/1/2005,6.74843E+11
5/1/2005,6.95037E+11
6/1/2005,7.1495E+11
7/1/2005,7.36338E+11
8/1/2005,7.56562E+11
9/1/2005,7.72265E+11
10/1/2005,7.88162E+11
11/1/2005,7.97453E+11
12/1/2005,8.21514E+11
1/1/2006,8.47811E+11
2/1/2006,8.56228E+11
3/1/2006,8.77637E+11
4/1/2006,8.97492E+11
5/1/2006,9.27528E+11
6/1/2006,9.4361E+11
7/1/2006,9.57069E+11
8/1/2006,9.74584E+11
9/1/2006,9.90451E+11
10/1/2006,1.012E+12
11/1/2006,1.04093E+12
12/1/2006,1.06849E+12
1/1/2007,1.10681E+12
2/1/2007,1.15937E+12
3/1/2007,1.20404E+12
4/1/2007,1.24857E+12
5/1/2007,1.29464E+12
6/1/2007,1.33459E+12
7/1/2007,1.38719E+12
8/1/2007,1.41061E+12
9/1/2007,1.43561E+12
10/1/2007,1.45692E+12
11/1/2007,1.49894E+12
12/1/2007,1.53028E+12
1/1/2008,1.59186E+12
2/1/2008,1.64922E+12
3/1/2008,1.68428E+12
4/1/2008,1.75873E+12
5/1/2008,1.79922E+12
6/1/2008,1.81106E+12
7/1/2008,1.84738E+12
8/1/2008,1.88631E+12
9/1/2008,1.90773E+12
10/1/2008,1.88171E+12
11/1/2008,1.88793E+12
12/1/2008,1.94926E+12
1/1/2009,1.91657E+12
2/1/2009,1.9151E+12
3/1/2009,1.95683E+12
4/1/2009,2.01198E+12
5/1/2009,2.09308E+12
6/1/2009,2.1352E+12
7/1/2009,2.17822E+12
8/1/2009,2.22385E+12
9/1/2009,2.28847E+12
10/1/2009,2.34429E+12
11/1/2009,2.4053E+12
12/1/2009,2.41604E+12
1/1/2010,2.43196E+12
2/1/2010,2.44121E+12
3/1/2010,2.46355E+12
4/1/2010,2.5069E+12
5/1/2010,2.45619E+12
6/1/2010,2.47121E+12
7/1/2010,2.55643E+12
8/1/2010,2.56527E+12
9/1/2010,2.66687E+12
10/1/2010,2.7798E+12
11/1/2010,2.7861E+12
12/1/2010,2.86608E+12
1/1/2011,2.95238E+12
2/1/2011,3.01216E+12
3/1/2011,3.06717E+12
4/1/2011,3.16848E+12
5/1/2011,3.18832E+12
6/1/2011,3.21976E+12
7/1/2011,3.26738E+12
8/1/2011,3.28437E+12
9/1/2011,3.22299E+12
10/1/2011,3.2955E+12
11/1/2011,3.24216E+12
12/1/2011,3.20279E+12
1/1/2012,3.27578E+12
2/1/2012,3.3313E+12
3/1/2012,3.3266E+12
4/1/2012,3.32061E+12
5/1/2012,3.22664E+12
6/1/2012,3.26068E+12
7/1/2012,3.26021E+12
8/1/2012,3.29265E+12
9/1/2012,3.30531E+12
10/1/2012,3.30721E+12
11/1/2012,3.31711E+12
12/1/2012,3.33112E+12
1/1/2013,3.43009E+12
2/1/2013,3.41451E+12
3/1/2013,3.4616E+12
4/1/2013,3.55349E+12
5/1/2013,3.53303E+12
6/1/2013,3.51521E+12
7/1/2013,3.56661E+12
8/1/2013,3.57117E+12
9/1/2013,3.68103E+12
10/1/2013,3.75481E+12
11/1/2013,3.80772E+12
12/1/2013,3.83955E+12
1/1/2014,3.88464E+12
2/1/2014,3.93198E+12
3/1/2014,3.96605E+12
4/1/2014,3.9968E+12
5/1/2014,4.00151E+12
6/1/2014,4.01083E+12
7/1/2014,3.98424E+12
8/1/2014,3.98641E+12
9/1/2014,3.90495E+12
10/1/2014,3.86976E+12
11/1/2014,3.86404E+12
12/1/2014,3.85917E+12
1/1/2015,3.82902E+12
2/1/2015,3.81686E+12
3/1/2015,3.74473E+12
4/1/2015,3.76347E+12
5/1/2015,3.72629E+12
6/1/2015,3.70895E+12
7/1/2015,3.66614E+12
8/1/2015,3.57264E+12
9/1/2015,3.52928E+12
10/1/2015,3.54051E+12
11/1/2015,3.45306E+12
12/1/2015,3.34519E+12
1/1/2016,3.24493E+12
2/1/2016,3.22333E+12
3/1/2016,3.23379E+12
4/1/2016,3.24087E+12
5/1/2016,3.2126E+12
6/1/2016,3.22602E+12
7/1/2016,3.22119E+12
8/1/2016,3.20521E+12
9/1/2016,3.1864E+12
10/1/2016,3.14057E+12
11/1/2016,3.07122E+12
12/1/2016,3.02978E+12
1/1/2017,3.01767E+12
2/1/2017,3.02453E+12
3/1/2017,3.02848E+12
4/1/2017,3.04909E+12
5/1/2017,3.07332E+12
6/1/2017,3.0763E+12
7/1/2017,3.09971E+12
8/1/2017,3.11083E+12
9/1/2017,3.12781E+12
10/1/2017,3.1282E+12
11/1/2017,3.13801E+12
12/1/2017,3.15888E+12
1/1/2018,3.18049E+12
2/1/2018,3.15333E+12
3/1/2018,3.16178E+12
4/1/2018,3.14358E+12
5/1/2018,3.12898E+12
6/1/2018,3.13152E+12
7/1/2018,3.13728E+12
8/1/2018,3.12912E+12
9/1/2018,3.10635E+12
10/1/2018,3.07249E+12
11/1/2018,3.08104E+12
12/1/2018,3.09188E+12
1/1/2019,3.1072E+12
2/1/2019,3.10944E+12
3/1/2019,3.11789E+12
4/1/2019,3.11401E+12
5/1/2019,3.11997E+12
6/1/2019,3.13828E+12
