iter	Logloss
0	0.6531239565
1	0.6154582821
2	0.5803659176
3	0.5512861762
4	0.5250597671
5	0.5036282743
6	0.4826725386
7	0.4654485671
8	0.4508450244
9	0.4353155212
10	0.4218275228
11	0.4104683337
12	0.3986808401
13	0.3870777804
14	0.377301421
15	0.3669262226
16	0.3576460852
17	0.3504129567
18	0.3446710281
19	0.3383068533
20	0.3324295519
21	0.3277118393
22	0.3212960206
23	0.3168979944
24	0.3125830095
25	0.3082079163
26	0.3048297731
27	0.3017518005
28	0.2990038852
29	0.2962144827
30	0.2936217474
31	0.2913097634
32	0.2879079028
33	0.2848837777
34	0.2826220515
35	0.2808493839
36	0.2785236448
37	0.276525982
38	0.2747146121
39	0.2724958412
40	0.2703754047
41	0.2684814205
42	0.2669016052
43	0.2657899816
44	0.2646954465
45	0.2631940073
46	0.2619736751
47	0.2605724006
48	0.2591743575
49	0.2580760828
50	0.2563782135
51	0.2551482287
52	0.2540498438
53	0.2534738766
54	0.2523313651
55	0.2513152046
56	0.2503964788
57	0.2496868006
58	0.2489817111
59	0.2484234105
60	0.2475705074
61	0.2469221403
62	0.2464680908
63	0.2452236712
64	0.2446287625
65	0.2439330536
66	0.2434223876
67	0.2425832775
68	0.2418140647
69	0.2414543982
70	0.2404632134
71	0.2396980683
72	0.238843202
73	0.2384786324
74	0.237634898
75	0.2369413292
76	0.2362832645
77	0.2355951836
78	0.235081185
79	0.2346469184
80	0.2339570563
81	0.233557272
82	0.2332627412
83	0.2323609536
84	0.2319016544
85	0.2316270929
86	0.2308934419
87	0.230642538
88	0.2298220982
89	0.2292893759
90	0.2288321152
91	0.2281529797
92	0.2279289375
93	0.2277759985
94	0.227557233
95	0.2271999157
96	0.2267096502
97	0.2264919077
98	0.2263296621
99	0.2261550551
100	0.2257511021
101	0.225541229
102	0.2250572794
103	0.2247146008
104	0.2242379022
105	0.2238849596
106	0.223491395
107	0.2232653148
108	0.2229416723
109	0.2227384663
110	0.2225335721
111	0.2223789804
112	0.2222169836
113	0.2215483479
114	0.2211849962
115	0.220859828
116	0.2205769798
117	0.2203083357
118	0.2200965496
119	0.2198858098
120	0.2196516216
121	0.2194986754
122	0.2191852587
123	0.2190509904
124	0.2183722518
125	0.2181067685
126	0.2179521409
127	0.2177678274
128	0.217553799
129	0.2173628994
