iter	Passed	Remaining
0	154	154091
1	161	80806
2	169	56465
3	177	44270
4	184	36800
5	193	31981
6	200	28423
7	208	25829
8	215	23768
9	223	22107
10	230	20720
11	237	19584
12	244	18589
13	251	17740
14	259	17013
15	266	16383
16	273	15836
17	281	15330
18	288	14895
19	295	14491
20	303	14130
21	310	13796
22	317	13492
23	324	13207
24	332	12949
25	339	12710
26	346	12482
27	354	12298
28	361	12105
29	368	11925
30	375	11744
31	382	11580
32	389	11422
33	396	11279
34	403	11114
35	410	10982
36	417	10862
37	424	10751
38	431	10639
39	439	10543
40	446	10444
41	453	10337
42	460	10244
43	467	10158
44	474	10075
45	481	9995
46	489	9919
47	496	9838
48	503	9772
49	510	9695
50	517	9631
51	524	9561
52	531	9491
53	537	9424
54	545	9365
55	552	9312
56	559	9255
57	566	9198
58	573	9142
59	580	9092
60	587	9044
61	594	8995
62	602	8956
63	610	8922
64	617	8876
65	624	8838
66	632	8801
67	639	8765
68	646	8727
69	654	8693
70	662	8664
71	669	8634
72	676	8593
73	683	8558
74	691	8526
75	698	8498
76	706	8470
77	714	8443
78	722	8419
79	729	8391
80	737	8372
81	745	8347
82	753	8330
83	760	8296
84	768	8274
85	776	8248
86	784	8230
87	791	8205
88	799	8185
89	807	8162
90	815	8142
91	837	8265
92	846	8254
93	854	8234
94	862	8212
95	870	8194
96	878	8173
97	885	8153
98	893	8128
99	900	8107
100	908	8084
101	915	8061
102	923	8038
103	930	8017
104	937	7995
105	945	7977
106	952	7953
107	960	7933
108	967	7911
109	975	7890
110	982	7868
111	989	7844
112	996	7824
113	1003	7801
114	1010	7779
115	1017	7757
116	1025	7740
117	1032	7718
118	1039	7695
119	1046	7673
120	1053	7651
121	1060	7632
122	1067	7612
123	1074	7591
124	1081	7571
125	1088	7551
126	1095	7531
127	1102	7512
128	1109	7494
129	1117	7476
130	1124	7460
131	1131	7438
132	1138	7420
133	1145	7400
134	1152	7382
135	1159	7365
136	1166	7348
137	1173	7330
138	1180	7315
139	1188	7301
140	1196	7287
141	1203	7272
142	1211	7259
143	1218	7244
144	1226	7229
145	1233	7213
146	1240	7200
147	1248	7184
148	1255	7168
149	1262	7154
150	1270	7142
151	1277	7129
152	1285	7114
153	1292	7099
154	1299	7085
155	1306	7070
156	1314	7056
157	1321	7042
158	1328	7028
159	1337	7019
160	1345	7011
161	1353	7001
162	1362	6993
163	1369	6983
164	1377	6972
165	1385	6960
166	1392	6948
167	1400	6936
168	1408	6924
169	1415	6912
170	1423	6900
171	1430	6887
172	1438	6878
173	1446	6866
174	1454	6854
175	1461	6843
176	1468	6830
177	1476	6818
178	1483	6804
179	1490	6790
180	1497	6776
181	1504	6764
182	1512	6751
183	1519	6737
184	1526	6724
185	1533	6709
186	1540	6695
187	1547	6683
188	1554	6671
189	1561	6657
190	1568	6644
191	1575	6630
192	1582	6616
193	1589	6604
194	1596	6592
195	1604	6579
196	1611	6567
197	1618	6553
198	1625	6541
199	1632	6529
200	1639	6517
201	1647	6506
202	1654	6494
203	1660	6480
204	1667	6468
205	1675	6457
206	1682	6446
207	1690	6436
208	1697	6425
209	1704	6413
210	1712	6402
211	1719	6391
212	1726	6379
213	1733	6368
214	1741	6357
215	1748	6346
216	1755	6335
217	1763	6324
218	1769	6311
219	1776	6300
220	1783	6287
221	1790	6274
222	1797	6263
223	1805	6253
224	1811	6240
225	1818	6229
226	1825	6217
227	1832	6206
228	1839	6194
229	1847	6184
230	1854	6173
231	1862	6163
232	1869	6155
233	1877	6145
234	1885	6136
235	1892	6126
236	1900	6117
237	1907	6108
238	1916	6100
239	1923	6092
240	1931	6082
241	1938	6071
242	1946	6063
243	1954	6054
244	1961	6044
245	1968	6034
246	1976	6025
247	1983	6015
248	1991	6005
249	1998	5995
250	2005	5985
251	2013	5975
252	2020	5966
253	2028	5956
254	2035	5947
255	2043	5938
256	2050	5929
257	2058	5919
258	2066	5911
259	2073	5900
260	2080	5891
261	2087	5881
262	2095	5871
263	2103	5863
264	2110	5853
265	2117	5844
266	2124	5833
267	2132	5823
268	2139	5814
269	2147	5804
270	2154	5795
271	2162	5787
272	2169	5777
273	2176	5767
274	2184	5758
275	2191	5747
276	2198	5737
277	2205	5728
278	2213	5719
279	2220	5709
280	2227	5700
281	2235	5691
282	2242	5682
283	2250	5673
284	2257	5664
285	2265	5656
286	2272	5646
287	2280	5637
288	2287	5627
289	2295	5619
290	2302	5609
291	2309	5599
292	2317	5590
293	2325	5584
294	2333	5577
295	2341	5569
296	2349	5561
297	2357	5553
298	2365	5545
299	2373	5537
300	2380	5529
301	2388	5519
302	2395	5510
303	2402	5500
304	2409	5490
305	2416	5481
306	2424	5472
307	2430	5460
308	2436	5449
309	2444	5440
310	2450	5429
311	2457	5419
312	2464	5410
313	2471	5400
314	2492	5421
315	2499	5410
316	2507	5401
317	2514	5392
318	2521	5382
319	2528	5373
320	2535	5363
321	2542	5353
322	2549	5343
323	2556	5334
324	2563	5324
325	2570	5314
326	2578	5305
327	2585	5296
328	2592	5286
329	2599	5277
330	2606	5267
331	2613	5258
332	2620	5248
333	2627	5239
334	2634	5229
335	2641	5219
336	2648	5210
337	2655	5200
338	2661	5190
339	2669	5181
