DATE,TRESDE
1/1/2000,59621515598
2/1/2000,59560613636
3/1/2000,61721364309
4/1/2000,57675504707
5/1/2000,58732260239
6/1/2000,59518533809
7/1/2000,56584290195
8/1/2000,54421986977
9/1/2000,57751111641
10/1/2000,55179445971
11/1/2000,56328983014
12/1/2000,56890479485
1/1/2001,55827154050
2/1/2001,54878843108
3/1/2001,53411407945
4/1/2001,52073365027
5/1/2001,51570358013
6/1/2001,51151841015
7/1/2001,51803948889
8/1/2001,51721152793
9/1/2001,54017853742
10/1/2001,55175364198
11/1/2001,54354546264
12/1/2001,51403889554
1/1/2002,52833798922
2/1/2002,52887133825
3/1/2002,52015436900
4/1/2002,51081509262
5/1/2002,50025901242
6/1/2002,51087494357
7/1/2002,51969528202
8/1/2002,51395521618
9/1/2002,51964698090
10/1/2002,51205197094
11/1/2002,51712888166
12/1/2002,51170639197
1/1/2003,51160447531
2/1/2003,51714267212
3/1/2003,52766069075
4/1/2003,51215092792
5/1/2003,52788125412
6/1/2003,51410465376
7/1/2003,50318966737
8/1/2003,50975210220
9/1/2003,52117698451
10/1/2003,52073931625
11/1/2003,51477472467
12/1/2003,50694032408
1/1/2004,50970638206
2/1/2004,51111306879
3/1/2004,50669975254
4/1/2004,50528679846
5/1/2004,49765887622
6/1/2004,50084592070
7/1/2004,48582853210
8/1/2004,48415103871
9/1/2004,48430828914
10/1/2004,47635253331
11/1/2004,47834434570
12/1/2004,48822652441
1/1/2005,49100514761
2/1/2005,48315976463
3/1/2005,48501624331
4/1/2005,48224169427
5/1/2005,48274953362
6/1/2005,47011036432
7/1/2005,46288588912
8/1/2005,45402723872
9/1/2005,47566840083
10/1/2005,47107497512
11/1/2005,45783943870
12/1/2005,45139728832
1/1/2006,45131507212
2/1/2006,43204917993
3/1/2006,43552297568
4/1/2006,41783029450
5/1/2006,43159567322
6/1/2006,43125245016
7/1/2006,43726309498
8/1/2006,43028942054
9/1/2006,42477195164
10/1/2006,42227825247
11/1/2006,42356590428
12/1/2006,41686538618
1/1/2007,42141355787
2/1/2007,41710947555
3/1/2007,41683342084
4/1/2007,43391635926
5/1/2007,43977110254
6/1/2007,43264657588
7/1/2007,43422490228
8/1/2007,43738963575
9/1/2007,44556008699
10/1/2007,44235555190
11/1/2007,44396178166
12/1/2007,44326512207
1/1/2008,45760468026
2/1/2008,46537758977
3/1/2008,47399319633
4/1/2008,48609601803
5/1/2008,46641611028
6/1/2008,47753738455
7/1/2008,46230896851
8/1/2008,45312699482
9/1/2008,44522299920
10/1/2008,44343392507
11/1/2008,43884554867
12/1/2008,43137195662
1/1/2009,40153294380
2/1/2009,39972278333
3/1/2009,42701812054
4/1/2009,42614544930
5/1/2009,44731362160
6/1/2009,44851013492
7/1/2009,45729891971
