DATE,TRESJP
1/1/2000,2.92006E+11
2/1/2000,2.93332E+11
3/1/2000,3.0437E+11
4/1/2000,3.31918E+11
5/1/2000,3.34541E+11
6/1/2000,3.37866E+11
7/1/2000,3.38087E+11
8/1/2000,3.38053E+11
9/1/2000,3.4223E+11
10/1/2000,3.42562E+11
11/1/2000,3.47951E+11
12/1/2000,3.54902E+11
1/1/2001,3.57727E+11
2/1/2001,3.57142E+11
3/1/2001,3.55146E+11
4/1/2001,3.5615E+11
5/1/2001,3.55323E+11
6/1/2001,3.56009E+11
7/1/2001,3.61136E+11
8/1/2001,3.65502E+11
9/1/2001,3.89805E+11
10/1/2001,3.98842E+11
11/1/2001,3.97102E+11
12/1/2001,3.95155E+11
1/1/2002,3.93931E+11
2/1/2002,3.96183E+11
3/1/2002,3.94102E+11
4/1/2002,3.99118E+11
5/1/2002,4.11648E+11
6/1/2002,4.38362E+11
7/1/2002,4.45596E+11
8/1/2002,4.48372E+11
9/1/2002,4.5276E+11
10/1/2002,4.53177E+11
11/1/2002,4.52621E+11
12/1/2002,4.61186E+11
1/1/2003,4.6955E+11
2/1/2003,4.76716E+11
3/1/2003,4.87943E+11
4/1/2003,4.91157E+11
5/1/2003,5.34196E+11
6/1/2003,5.37104E+11
7/1/2003,5.48108E+11
8/1/2003,5.45879E+11
9/1/2003,5.95326E+11
10/1/2003,6.16766E+11
11/1/2003,6.34839E+11
12/1/2003,6.63289E+11
1/1/2004,7.31411E+11
2/1/2004,7.67119E+11
3/1/2004,8.16151E+11
4/1/2004,8.05409E+11
5/1/2004,8.07172E+11
6/1/2004,8.08214E+11
7/1/2004,8.09574E+11
8/1/2004,8.17935E+11
9/1/2004,8.20765E+11
10/1/2004,8.27407E+11
11/1/2004,8.28932E+11
12/1/2004,8.33891E+11
1/1/2005,8.3058E+11
2/1/2005,8.29851E+11
3/1/2005,8.272E+11
4/1/2005,8.32882E+11
5/1/2005,8.32272E+11
6/1/2005,8.32783E+11
7/1/2005,8.28823E+11
8/1/2005,8.37107E+11
9/1/2005,8.31921E+11
10/1/2005,8.30212E+11
11/1/2005,8.31076E+11
12/1/2005,8.34275E+11
1/1/2006,8.37675E+11
2/1/2006,8.36381E+11
3/1/2006,8.37712E+11
4/1/2006,8.44398E+11
5/1/2006,8.48047E+11
6/1/2006,8.49785E+11
7/1/2006,8.56377E+11
8/1/2006,8.63408E+11
9/1/2006,8.66531E+11
10/1/2006,8.707E+11
11/1/2006,8.81039E+11
12/1/2006,8.79682E+11
1/1/2007,8.79377E+11
2/1/2007,8.88708E+11
3/1/2007,8.92677E+11
4/1/2007,8.98967E+11
5/1/2007,8.94921E+11
6/1/2007,8.97568E+11
7/1/2007,9.07346E+11
8/1/2007,9.15623E+11
9/1/2007,9.27323E+11
10/1/2007,9.35061E+11
11/1/2007,9.50908E+11
12/1/2007,9.52784E+11
1/1/2008,9.73329E+11
2/1/2008,9.84079E+11
3/1/2008,9.9262E+11
4/1/2008,9.82407E+11
5/1/2008,9.75184E+11
6/1/2008,9.78663E+11
7/1/2008,9.82073E+11
8/1/2008,9.76248E+11
9/1/2008,9.7413E+11
10/1/2008,9.59744E+11
11/1/2008,9.82799E+11
12/1/2008,1.00936E+12
1/1/2009,9.88335E+11
2/1/2009,9.85932E+11
3/1/2009,9.96002E+11
4/1/2009,9.89744E+11
5/1/2009,1.00001E+12
6/1/2009,9.96184E+11
7/1/2009,1.00156E+12
8/1/2009,1.02149E+12
9/1/2009,1.03079E+12
10/1/2009,1.03388E+12
11/1/2009,1.04747E+12
12/1/2009,1.0249E+12
1/1/2010,1.02918E+12
2/1/2010,1.02817E+12
3/1/2010,1.01959E+12
4/1/2010,1.02216E+12
5/1/2010,1.01677E+12
6/1/2010,1.0248E+12
7/1/2010,1.04086E+12
8/1/2010,1.04556E+12
9/1/2010,1.08511E+12
10/1/2010,1.09274E+12
11/1/2010,1.07452E+12
12/1/2010,1.06999E+12
1/1/2011,1.07047E+12
2/1/2011,1.06705E+12
3/1/2011,1.08062E+12
4/1/2011,1.09776E+12
5/1/2011,1.10172E+12
6/1/2011,1.10076E+12
7/1/2011,1.1108E+12
8/1/2011,1.17388E+12
9/1/2011,1.16073E+12
10/1/2011,1.16751E+12
11/1/2011,1.26181E+12
12/1/2011,1.25817E+12
1/1/2012,1.26376E+12
2/1/2012,1.25933E+12
3/1/2012,1.2478E+12
4/1/2012,1.24888E+12
5/1/2012,1.23935E+12
6/1/2012,1.23118E+12
7/1/2012,1.23283E+12
8/1/2012,1.23265E+12
9/1/2012,1.23327E+12
10/1/2012,1.23183E+12
11/1/2012,1.22835E+12
12/1/2012,1.22715E+12
1/1/2013,1.2263E+12
2/1/2013,1.21969E+12
3/1/2013,1.215E+12
4/1/2013,1.22178E+12
5/1/2013,1.2159E+12
6/1/2013,1.20935E+12
7/1/2013,1.22165E+12
8/1/2013,1.21985E+12
9/1/2013,1.24077E+12
10/1/2013,1.24414E+12
11/1/2013,1.24449E+12
12/1/2013,1.23722E+12
1/1/2014,1.24624E+12
2/1/2014,1.25553E+12
3/1/2014,1.24753E+12
4/1/2014,1.25108E+12
5/1/2014,1.25312E+12
6/1/2014,1.25153E+12
7/1/2014,1.24437E+12
8/1/2014,1.24634E+12
9/1/2014,1.23444E+12
10/1/2014,1.23724E+12
11/1/2014,1.23994E+12
12/1/2014,1.23101E+12
1/1/2015,1.23006E+12
2/1/2015,1.22121E+12
3/1/2015,1.21608E+12
4/1/2015,1.221E+12
5/1/2015,1.21641E+12
6/1/2015,1.21409E+12
7/1/2015,1.21526E+12
8/1/2015,1.21619E+12
9/1/2015,1.2215E+12
10/1/2015,1.21607E+12
11/1/2015,1.20685E+12
12/1/2015,1.20702E+12
1/1/2016,1.22069E+12
2/1/2016,1.22371E+12
3/1/2016,1.2316E+12
4/1/2016,1.23082E+12
5/1/2016,1.22409E+12
6/1/2016,1.23285E+12
7/1/2016,1.23167E+12
8/1/2016,1.22378E+12
9/1/2016,1.22755E+12
10/1/2016,1.21144E+12
11/1/2016,1.19025E+12
12/1/2016,1.18833E+12
1/1/2017,1.20162E+12
2/1/2017,1.20134E+12
