DATE,CA,MX,CN,JP,DE
2000-01-01,28502721918.0,33642734255.0,159039000000.0,292006000000.0,59621515598.0
2000-02-01,29430050447.0,33311855539.0,159491000000.0,293332000000.0,59560613636.0
2000-03-01,30695271162.0,36371437175.0,159769000000.0,304370000000.0,61721364309.0
2000-04-01,30046414753.0,34684884346.0,159503000000.0,331918000000.0,57675504707.0
2000-05-01,29119049378.0,33566023523.0,160701000000.0,334541000000.0,58732260239.0
2000-06-01,29801339133.0,32974285058.0,161285000000.0,337866000000.0,59518533809.0
2000-07-01,29877211447.0,34322844447.0,161367000000.0,338087000000.0,56584290195.0
2000-08-01,30250814163.0,32882096793.0,161724000000.0,338053000000.0,54421986977.0
2000-09-01,30349488740.0,34108110735.0,162585000000.0,342230000000.0,57751111641.0
2000-10-01,30205340083.0,35270721722.0,163801000000.0,342562000000.0,55179445971.0
2000-11-01,30658042377.0,34689945570.0,166363000000.0,347951000000.0,56328983014.0
2000-12-01,32102319496.0,35508841926.0,168278000000.0,354902000000.0,56890479485.0
2001-01-01,32241265485.0,39421400821.0,171298000000.0,357727000000.0,55827154050.0
2001-02-01,32383611830.0,39105935089.0,178004000000.0,357142000000.0,54878843108.0
2001-03-01,33214453629.0,40233944974.0,178891000000.0,355146000000.0,53411407945.0
2001-04-01,32902772435.0,40309359624.0,180226000000.0,356150000000.0,52073365027.0
2001-05-01,32950594554.0,40561019575.0,182044000000.0,355323000000.0,51570358013.0
2001-06-01,32700852247.0,40758682063.0,183861000000.0,356009000000.0,51151841015.0
2001-07-01,33495640700.0,40820398533.0,187518000000.0,361136000000.0,51803948889.0
2001-08-01,34719792717.0,41167724500.0,193173000000.0,365502000000.0,51721152793.0
2001-09-01,33884843306.0,42805946540.0,199284000000.0,389805000000.0,54017853742.0
2001-10-01,34648624922.0,43369842832.0,206520000000.0,398842000000.0,55175364198.0
2001-11-01,34281299091.0,43858373670.0,211793000000.0,397102000000.0,54354546264.0
2001-12-01,33961817468.0,44740742122.0,215605000000.0,395155000000.0,51403889554.0
2002-01-01,33348690272.0,47222573096.0,220749000000.0,393931000000.0,52833798922.0
2002-02-01,33897168799.0,47058407920.0,226703000000.0,396183000000.0,52887133825.0
2002-03-01,33743102945.0,46197929805.0,230870000000.0,394102000000.0,52015436900.0
2002-04-01,34690624405.0,45080790858.0,237171000000.0,399118000000.0,51081509262.0
2002-05-01,35395842106.0,44911257677.0,241896000000.0,411648000000.0,50025901242.0
2002-06-01,36917101328.0,45524570507.0,246749000000.0,438362000000.0,51087494357.0
2002-07-01,36149266473.0,46055938486.0,250498000000.0,445596000000.0,51969528202.0
2002-08-01,36855257523.0,46488718258.0,257204000000.0,448372000000.0,51395521618.0
2002-09-01,36365574169.0,46607872176.0,262964000000.0,452760000000.0,51964698090.0
2002-10-01,37041217690.0,46067380520.0,269869000000.0,453177000000.0,51205197094.0
2002-11-01,36285386830.0,46770976307.0,278983000000.0,452621000000.0,51712888166.0
2002-12-01,36984083074.0,50594446760.0,291128000000.0,461186000000.0,51170639197.0
